State,DTI,Year,,,,State,DTI,Year,,,,,State,DTI,Year,,,,,,State,DTI,Year,,,,,State,DTI,Year
Alabama,1.32,2024,,,,Alabama,1.32,2022,,,,,Alabama,1.4,2020,,,,,,Alabama,1.6,2008,,,,,Alabama,0.4,1999
Alaska,1.4,2024,,,,Alaska,1.6,2022,,,,,Alaska,1.6,2020,,,,,,Alaska,1.72,2008,,,,,Alaska,1.24,1999
Arizona,1.72,2024,,,,Arizona,1.72,2022,,,,,Arizona,1.72,2020,,,,,,Arizona,2.06,2008,,,,,Arizona,1.24,1999
Arkansas,1.11,2024,,,,Arkansas,1.24,2022,,,,,Arkansas,1.24,2020,,,,,,Arkansas,1.4,2008,,,,,Arkansas,0.4,1999
California,1.6,2024,,,,California,1.6,2022,,,,,California,1.72,2020,,,,,,California,2.06,2008,,,,,California,1.5,1999
Colorado,1.72,2024,,,,Colorado,1.72,2022,,,,,Colorado,1.84,2020,,,,,,Colorado,2.06,2008,,,,,Colorado,1.24,1999
Connecticut,,2024,,,,Connecticut,1.32,2022,,,,,Connecticut,1.4,2020,,,,,,Connecticut,1.72,2008,,,,,Connecticut,0.4,1999
Delaware,1.5,2024,,,,Delaware,1.5,2022,,,,,Delaware,1.6,2020,,,,,,Delaware,1.72,2008,,,,,Delaware,0.4,1999
Florida,1.6,2024,,,,Florida,1.6,2022,,,,,Florida,1.84,2020,,,,,,Florida,2.06,2008,,,,,Florida,1.4,1999
Georgia,1.4,2024,,,,Georgia,1.4,2022,,,,,Georgia,1.5,2020,,,,,,Georgia,2.06,2008,,,,,Georgia,1.11,1999
Hawaii,2.06,2024,,,,Hawaii,2.06,2022,,,,,Hawaii,2.06,2020,,,,,,Hawaii,2.06,2008,,,,,Hawaii,1.72,1999
Idaho,1.84,2024,,,,Idaho,1.84,2022,,,,,Idaho,1.84,2020,,,,,,Idaho,2.06,2008,,,,,Idaho,1.4,1999
Illinois,1.11,2024,,,,Illinois,1.11,2022,,,,,Illinois,1.24,2020,,,,,,Illinois,1.72,2008,,,,,Illinois,0.4,1999
Indiana,1.11,2024,,,,Indiana,1.11,2022,,,,,Indiana,1.32,2020,,,,,,Indiana,1.5,2008,,,,,Indiana,0.4,1999
Iowa,1.11,2024,,,,Iowa,1.11,2022,,,,,Iowa,1.11,2020,,,,,,Iowa,1.24,2008,,,,,Iowa,0.4,1999
Kansas,0.4,2024,,,,Kansas,1.11,2022,,,,,Kansas,1.11,2020,,,,,,Kansas,1.32,2008,,,,,Kansas,0.4,1999
Kentucky,1.11,2024,,,,Kentucky,1.11,2022,,,,,Kentucky,1.24,2020,,,,,,Kentucky,1.4,2008,,,,,Kentucky,0.4,1999
Louisiana,1.32,2024,,,,Louisiana,1.4,2022,,,,,Louisiana,1.4,2020,,,,,,Louisiana,1.32,2008,,,,,Louisiana,0.4,1999
Maine,1.5,2024,,,,Maine,1.5,2022,,,,,Maine,1.6,2020,,,,,,Maine,1.84,2008,,,,,Maine,0.4,1999
Maryland,1.84,2024,,,,Maryland,1.84,2022,,,,,Maryland,1.84,2020,,,,,,Maryland,2.06,2008,,,,,Maryland,1.5,1999
Massachusetts,1.11,2024,,,,Massachusetts,1.11,2022,,,,,Massachusetts,1.24,2020,,,,,,Massachusetts,1.6,2008,,,,,Massachusetts,0.4,1999
Michigan,1.24,2024,,,,Michigan,1.24,2022,,,,,Michigan,1.32,2020,,,,,,Michigan,1.72,2008,,,,,Michigan,0.4,1999
Minnesota,1.24,2024,,,,Minnesota,1.24,2022,,,,,Minnesota,1.32,2020,,,,,,Minnesota,1.72,2008,,,,,Minnesota,0.4,1999
Mississippi,1.4,2024,,,,Mississippi,1.4,2022,,,,,Mississippi,1.5,2020,,,,,,Mississippi,1.5,2008,,,,,Mississippi,0.4,1999
Missouri,1.24,2024,,,,Missouri,1.24,2022,,,,,Missouri,1.32,2020,,,,,,Missouri,1.5,2008,,,,,Missouri,0.4,1999
Montana,1.72,2024,,,,Montana,1.6,2022,,,,,Montana,1.84,2020,,,,,,Montana,1.84,2008,,,,,Montana,1.24,1999
Nebraska,1.11,2024,,,,Nebraska,1.11,2022,,,,,Nebraska,1.11,2020,,,,,,Nebraska,1.24,2008,,,,,Nebraska,0.4,1999
Nevada,1.72,2024,,,,Nevada,1.72,2022,,,,,Nevada,2.06,2020,,,,,,Nevada,2.06,2008,,,,,Nevada,1.32,1999
New Hampshire,1.5,2024,,,,New Hampshire,1.5,2022,,,,,New Hampshire,1.6,2020,,,,,,New Hampshire,2.06,2008,,,,,New Hampshire,0.4,1999
New Jersey,1.4,2024,,,,New Jersey,1.5,2022,,,,,New Jersey,1.6,2020,,,,,,New Jersey,1.84,2008,,,,,New Jersey,0.4,1999
New Mexico,1.4,2024,,,,New Mexico,1.5,2022,,,,,New Mexico,1.6,2020,,,,,,New Mexico,1.84,2008,,,,,New Mexico,1.32,1999
New York,0.4,2024,,,,New York,0.4,2022,,,,,New York,0.4,2020,,,,,,New York,1.32,2008,,,,,New York,0.4,1999
North Carolina,1.5,2024,,,,North Carolina,1.4,2022,,,,,North Carolina,1.6,2020,,,,,,North Carolina,1.84,2008,,,,,North Carolina,1.11,1999
North Dakota,0.4,2024,,,,North Dakota,1.11,2022,,,,,North Dakota,1.11,2020,,,,,,North Dakota,0.4,2008,,,,,North Dakota,0.4,1999
Ohio,1.11,2024,,,,Ohio,1.11,2022,,,,,Ohio,1.24,2020,,,,,,Ohio,1.5,2008,,,,,Ohio,0.4,1999
Oklahoma,1.24,2024,,,,Oklahoma,1.24,2022,,,,,Oklahoma,1.24,2020,,,,,,Oklahoma,1.32,2008,,,,,Oklahoma,0.4,1999
Oregon,1.6,2024,,,,Oregon,1.6,2022,,,,,Oregon,1.72,2020,,,,,,Oregon,2.06,2008,,,,,Oregon,1.32,1999
Pennsylvania,1.11,2024,,,,Pennsylvania,1.11,2022,,,,,Pennsylvania,1.32,2020,,,,,,Pennsylvania,1.4,2008,,,,,Pennsylvania,0.4,1999
Rhode Island,1.6,2024,,,,Rhode Island,1.5,2022,,,,,Rhode Island,1.6,2020,,,,,,Rhode Island,2.06,2008,,,,,Rhode Island,1.11,1999
South Carolina,1.72,2024,,,,South Carolina,1.72,2022,,,,,South Carolina,1.84,2020,,,,,,South Carolina,2.06,2008,,,,,South Carolina,1.11,1999
South Dakota,1.11,2024,,,,South Dakota,1.11,2022,,,,,South Dakota,1.24,2020,,,,,,South Dakota,1.5,2008,,,,,South Dakota,0.4,1999
Tennessee,1.32,2024,,,,Tennessee,1.32,2022,,,,,Tennessee,1.4,2020,,,,,,Tennessee,1.6,2008,,,,,Tennessee,1.11,1999
Texas,1.11,2024,,,,Texas,1.11,2022,,,,,Texas,1.24,2020,,,,,,Texas,1.24,2008,,,,,Texas,0.4,1999
Utah,1.72,2024,,,,Utah,1.72,2022,,,,,Utah,1.72,2020,,,,,,Utah,2.06,2008,,,,,Utah,1.24,1999
Vermont,1.24,2024,,,,Vermont,1.32,2022,,,,,Vermont,1.5,2020,,,,,,Vermont,1.6,2008,,,,,Vermont,0.4,1999
Virginia,1.6,2024,,,,Virginia,1.72,2022,,,,,Virginia,1.84,2020,,,,,,Virginia,2.06,2008,,,,,Virginia,1.32,1999
Washington,1.5,2024,,,,Washington,1.5,2022,,,,,Washington,1.6,2020,,,,,,Washington,2.06,2008,,,,,Washington,1.4,1999
West Virginia,1.11,2024,,,,West Virginia,1.24,2022,,,,,West Virginia,1.4,2020,,,,,,West Virginia,1.32,2008,,,,,West Virginia,0.4,1999
Wisconsin,1.11,2024,,,,Wisconsin,1.11,2022,,,,,Wisconsin,1.24,2020,,,,,,Wisconsin,1.4,2008,,,,,Wisconsin,0.4,1999
Wyoming,1.4,2024,,,,Wyoming,1.4,2022,,,,,Wyoming,1.6,2020,,,,,,Wyoming,1.32,2008,,,,,Wyoming,0.4,1999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
